CCH_Pounder;Joel_David_Moore;Wes_Studi
Steve_Carell;Miranda_Cosgrove;Steve_Coogan
Charlie_Hunnam;Danny_Huston;Rita_Davies
Harold_Perrineau;Matt_Ryan;Charles_Halford
Adam_Arkin;Brent_Sexton;Damian_Lewis
Ayelet_Zurer;Moritz_Bleibtreu;Mathieu_Amalric
Mhairi_Calvey;Patrick_McGoohan;James_Robinson
Michael_Fassbender;Brad_Pitt;Christoph_Waltz
Nicole_Beharie;Katia_Winter;Lyndie_Greenwood
Steve_Buscemi;Alison_Lohman;Albert_Finney
Michael_Biehn;Todd_Graff;Mary_Elizabeth_Mastrantonio
Henry_Cavill;David_Kelly;Nathaniel_Parker
Steve_Carell;Miranda_Cosgrove;Jack_McBrayer
Al_Pacino;Rip_Torn;Debi_Mazar
Tom_Hanks;Vin_Diesel;Matt_Damon
Goran_Visnjic;Stephen_Root;Denis_Leary
Keanu_Reeves;Marcus_Chong;Gloria_Foster
Tom_Hanks;Miko_Hughes;Kathleen_Quinlan
Hugh_Jackman;Eddie_Redmayne;Anne_Hathaway
Brad_Pitt;Meat_Loaf;Eugenie_Bondurant
Jason_Flemyng;James_Nesbitt;Frances_O'Connor
Michael_Smiley;David_Calder;Simon_Chandler
Wayne_Knight;Ariana_Richards;Bob_Peck
Craig_Stark;Jennifer_Jason_Leigh;Zoë_Bell
Gerard_Butler;Michael_Fassbender;Vincent_Regan
Tom_Hanks;Jeffrey_DeMunn;Michael_Jeter
Patrick_Fugit;Sela_Ward;Emily_Ratajkowski
Matt_Damon;Josh_Hamilton;Nicky_Naudé
Natascha_McElhone;Noah_Emmerich;Peter_Krause
Tom_Cruise;Jada_Pinkett_Smith;Debi_Mazar
Jennifer_Saunders;Dawn_French;John_Hodgman
Denzel_Washington;Radha_Mitchell;Giancarlo_Giannini
Morgan_Freeman;Will_Ferrell;Alison_Brie
Philip_Seymour_Hoffman;Zooey_Deschanel;Michael_Angarano
Ryan_Reynolds;Ed_Skrein;Stefan_Kapicic
Keanu_Reeves;Al_Pacino;Charlize_Theron
Tom_Hanks;Siobhan_Fallon_Hogan;Sam_Anderson
Tom_Hanks;Chris_Mulkey;Michael_Chernus
Will_Smith;Kurt_Fuller;James_Karen
David_Carradine;Vivica_A._Fox;Chiaki_Kuriyama
Christopher_Judge;Don_S._Davis;Gary_Jones
Vivica_A._Fox;Michael_Parks;Michael_Bowen
Angelina_Jolie_Pitt;Michael_Kelly;Colm_Feore
Denis_Lavant;André_Dussollier;Albert_Dupontel
James_Mason;Shelley_Winters;Lois_Maxwell
Will_Smith;Rosario_Dawson;Madison_Pettis
Al_Pacino;Joe_Mantegna;Bridget_Fonda
Jim_Broadbent;Kylie_Minogue;Richard_Roxburgh
Quentin_Tarantino;Rosario_Dawson;Zoë_Bell
Leonardo_DiCaprio;Tom_Hanks;Jennifer_Garner
Nick_Stahl;Miranda_Otto;Dash_Mihok
Robert_De_Niro;Don_Rickles;Kevin_Pollak
Kathleen_Freeman;Chris_Miller;Bobby_Block
Lupe_Ontiveros;Yeardley_Smith;Shirley_Knight
Brad_Pitt;Tom_Cruise;Kirsten_Dunst
Denzel_Washington;James_Ransone;Peter_Gerety
Philip_Seymour_Hoffman;Robin_Wright;Brad_Pitt
Natalie_Portman;Eddie_Marsan;Rupert_Graves
Bernard_Hill;Gemma_Jones;Nicola_Walker
Deborah_Kara_Unger;Armin_Mueller-Stahl;Charles_Martinet
David_Jason;Bruce_Alexander;John_Lyons
Grey_Damon;Brittany_Curran;Aaron_Hill
Vin_Diesel;Harry_Connick_Jr.;M._Emmet_Walsh
Kevin_Spacey;Kate_Winslet;Matt_Craven
Viggo_Mortensen;Naomi_Watts;Raza_Jaffrey
Tobias_Menzies;Graham_McTavish;Stephen_Walters
Michael_O'Neill;Jacob_Vargas;James_Lew
Harrison_Ford;Julian_Glover;Alison_Doody
Christian_Bale;Logan_Lerman;Gretchen_Mol
Nandita_Das;Gulshan_Grover;Eric_Peterson
Sylvester_Stallone;Brian_Dennehy;Chris_Mulkey
Donatas_Banionis;Anatoliy_Solonitsyn;Natalya_Bondarchuk
LeVar_Burton;Alfre_Woodard;Jonathan_Frakes
Hugh_Jackman;Jake_Gyllenhaal;Dylan_Minnette
Denzel_Washington;Snoop_Dogg;Tom_Berenger
Colin_Firth;Liam_Neeson;Kris_Marshall
Pierre_Perrier;Clotilde_Hesme;Céline_Sallette
Clea_DuVall;Scoot_McNairy;Tate_Donovan
Harrison_Ford;Daniel_Roebuck;Sela_Ward
Robert_De_Niro;Brad_Pitt;Minnie_Driver
Mel_Blanc;Dickie_Jones;Cliff_Edwards
Nicolas_Cage;Jeremy_Crutchley;Jared_Burke
Jet_Li;Tony_Chiu_Wai_Leung;Maggie_Cheung
Tim_Conway;Gavin_MacLeod;Bob_Hastings
Bruce_Willis;Haley_Joel_Osment;Olivia_Williams
Lea_Thompson;Jeffrey_Weissman;Thomas_F._Wilson
Jerry_Ferrara;Scott_Elrod;Dan_Bilzerian
Javier_Botet;Frances_O'Connor;Robin_Atkin_Downes
Andrew_Garfield;Dustin_Fitzsimons;Marcella_Lentz-Pope
Keanu_Reeves;Anthony_Hopkins;Gary_Oldman
Harrison_Ford;Christopher_Meloni;Nicole_Beharie
Wes_Studi;Terry_Kinney;Eric_Schweig
Bokeem_Woodbine;Curtis_Armstrong;Harry_Lennix
Rosario_Dawson;Powers_Boothe;Jason_Douglas
Sally_Kirkland;Jay_O._Sanders;Cheryl_Penland
Tom_Hanks;Mark_Rylance;Amy_Ryan
Henry_Cavill;James_Frain;Michael_Wincott
Christian_Bale;Hugh_Jackman;Scarlett_Johansson
Rudy_Youngblood;Dalia_Hernández;Jonathan_Brewer
Naomi_Watts;Geraldine_Chaplin;Oaklee_Pendergast
Bill_Murray;Meryl_Streep;Helen_McCrory
Mathieu_Kassovitz;Jamel_Debbouze;Isabelle_Nanty
Michael_Wincott;Bai_Ling;David_Patrick_Kelly
Tamannaah_Bhatia;Anushka_Shetty;Prabhas
Adam_Baldwin;Sean_Maher;Michael_Hitchcock
Joseph_Gordon-Levitt;Wayne_Knight;Kristen_Johnston
Denzel_Washington;Vincent_Pastore;Deborah_Kara_Unger
Wilford_Brimley;Richard_Masur;David_Clennon
Sylvester_Stallone;Phylicia_Rashad;Graham_McTavish
Jeremy_Renner;Jon_Hamm;Owen_Burke
Chris_Hemsworth;Olivia_Wilde;Alexandra_Maria_Lara
Patton_Oswalt;Neil_Flynn;Jim_Meskimen
Blair_Underwood;Xander_Berkeley;Mason_Gamble
Bradley_Cooper;Rob_Riggle;Mike_Epps
Michael_Gough;Jack_Palance;William_Hootkins
Catherine_Dyer;Quinton_Aaron;Kim_Dickens
Matt_Damon;Jeff_Bridges;Bruce_Green
Kevin_Spacey;Matt_McCoy;Paul_Guilfoyle
Johnny_Depp;Lin_Shaye;Amanda_Wyss
Tom_Hanks;Ruth_Wilson;B.J._Novak
Denzel_Washington;Delroy_Lindo;Al_Freeman_Jr.
Johnny_Depp;Al_Pacino;Anne_Heche
Emilia_Fox;Frank_Finlay;Ed_Stoppard
Ruth_Wilson;Indira_Varma;Warren_Brown
Delroy_Lindo;Jesse_Borrego;Raymond_Cruz
Oliver_Reed;Rod_Steiger;John_Gielgud
Maricel_Álvarez;Hanaa_Bouchaib;Eduard_Fernández
Rumi_Hiiragi;Yûki_Amami;Yuria_Nara
Paul_Sorvino;Warren_Beatty;M._Emmet_Walsh
Tom_Cruise;Demi_Moore;Kevin_Pollak
Harrison_Ford;Ian_McDiarmid;Kenny_Baker
Kate_Winslet;David_Kross;Susanne_Lothar
Jake_Gyllenhaal;Cas_Anvar;Russell_Peters
Viggo_Mortensen;Kyle_Schmid;William_Hurt
Harrison_Ford;Marlon_Brando;Robert_Duvall
Bill_Murray;Tom_Wilkinson;F._Murray_Abraham
Tom_Hanks;John_Ratzenberger;Jim_Varney
Ryan_Gosling;Denzel_Washington;Ethan_Suplee
Scott_Glenn;Jeffrey_Jones;Courtney_B._Vance
Morgan_Freeman;Brad_Pitt;Reg_E._Cathey
Sharlto_Copley;Jed_Brophy;Jason_Cope
John_Doman;Spencer_Treat_Clark;Tom_Guiry
Clint_Eastwood;Morgan_Freeman;Mike_Colter
Ryan_Gosling;Kevin_Connolly;Gena_Rowlands
Anthony_Hopkins;Brad_Pitt;Julia_Ormond
Zach_Gilford;Aimee_Teegarden;Scott_Porter
Kurt_Fuller;Audrey_Fleurot;Nina_Arianda
Johnny_Depp;Ethan_Suplee;Jordi_Mollà
Mark_Gatiss;Geraldine_McEwan;Peter_Sallis
Benedict_Cumberbatch;Alfie_Allen;Brenda_Blethyn
Edgar_Arreola;Bernardo_Saracino;Daniel_Kaluuya
Jake_Gyllenhaal;50_Cent;Oona_Laurence
Haley_Joel_Osment;Robert_Duvall;Emmanuelle_Vaugier
Will_Ferrell;Christian_Stolte;Danny_Rhodes
Robert_De_Niro;Yaphet_Kotto;Philip_Baker_Hall
Zach_Gilford;Joan_Allen;Liam_James
Debi_Mazar;Kevin_Connolly;Kevin_Dillon
Ólafur_Darri_Ólafsson;Ingvar_Eggert_Sigurðsson;Björn_Hlynur_Haraldsson
Denzel_Washington;Morgan_Freeman;Matthew_Broderick
Robert_De_Niro;Burt_Young;Treat_Williams
Brad_Pitt;Jeremy_Renner;Sam_Shepard
James_Franco;Salma_Hayek;Anders_Holm
Sandra_Ellis_Lafferty;Dallas_Roberts;Tyler_Hilton
Amanda_Schull;Kirk_Acevedo;Tom_Noonan
Toby_Jones;Clint_Howard;Oliver_Platt
Denzel_Washington;Kevin_McNally;Penelope_Wilton
Robin_Williams;Frank_Welker;Scott_Weinger
Aldis_Hodge;Neil_Brown_Jr.;R._Marcos_Taylor
Harrison_Ford;Amrish_Puri;Kate_Capshaw
