Id,Label,timeset,att1,modularity_class,Weighted Degree,Eccentricity,closnesscentrality,harmonicclosnesscentrality,betweenesscentrality,componentnumber,clustering,triangles,eigencentrality,Degree
120,Jeff Garlin,,Jeff Garlin,13,16.8,14,0.128145,0.172214,0,0,1,1,0.235212,2
121,Jennifer Lawrence,,Jennifer Lawrence,5,44.1,16,0.125285,0.173911,1617.5,0,0.266667,4,0.157446,6
122,Jeremy Renner,,Jeremy Renner,12,22.2,13,0.128625,0.1575,0.5,0,0.666667,2,0.107544,3
123,Jess Harnell,,Jess Harnell,13,16.6,14,0.128145,0.172214,0,0,1,1,0.235212,2
124,Jim Broadbent,,Jim Broadbent,10,26.2,14,0.141826,0.183317,546,0,0.333333,2,0.208521,4
125,Jim Varney,,Jim Varney,13,16.6,13,0.140593,0.193157,0,0,1,1,0.379111,2
126,Joan Allen,,Joan Allen,2,15.6,12,0.146044,0.182598,0,0,1,1,0.136604,2
127,Joe Lo Truglio,,Joe Lo Truglio,9,15.6,16,0.119099,0.143235,0,0,1,1,0.031303,2
128,John Ratzenberger,,John Ratzenberger,13,127.2,13,0.146823,0.231427,6127.066667,0,0.075,9,1,16
129,Johnny Depp,,Johnny Depp,0,56,13,0.147849,0.189806,1675.555952,0,0.178571,5,0.197514,8
130,Jon Favreau,,Jon Favreau,11,29.1,10,0.175719,0.21115,1563.666667,0,0.5,3,0.251641,4
131,Jon Hamm,,Jon Hamm,9,25.6,15,0.137294,0.177026,546,0,0.333333,2,0.107351,4
132,Joseph Gordon-Levitt,,Joseph Gordon-Levitt,7,40.9,14,0.141753,0.174812,948,0,0.3,3,0.08445,5
133,Josh Hutcherson,,Josh Hutcherson,5,28.1,17,0.111607,0.145799,3.5,0,0.5,3,0.079481,4
134,Josh Zuckerman,,Josh Zuckerman,8,12.4,16,0.111698,0.136063,0,0,1,1,0.038168,2
135,Judy Greer,,Judy Greer,8,56.8,12,0.16799,0.218086,6739.821429,0,0.142857,4,0.260715,8
136,Julian Glover,,Julian Glover,10,16.6,14,0.141534,0.178469,0,0,1,1,0.184399,2
137,Julie Walters,,Julie Walters,13,14.4,14,0.128145,0.172214,0,0,1,1,0.235212,2
138,Karen Allen,,Karen Allen,10,29.8,14,0.142119,0.185136,546,0,0.333333,2,0.216715,4
139,Kate Capshaw,,Kate Capshaw,10,15.2,14,0.141534,0.178469,0,0,1,1,0.184399,2
140,Kate Winslet,,Kate Winslet,7,15.4,16,0.110887,0.128758,0,0,1,1,0.022459,2
141,Kathleen Quinlan,,Kathleen Quinlan,13,15.2,13,0.137707,0.181995,0,0,1,1,0.232683,2
142,Kathy Griffin,,Kathy Griffin,9,12.8,16,0.120826,0.146069,0,0,1,1,0.032545,2
143,Keir O'Donnell,,Keir O'Donnell,6,14.6,14,0.119513,0.15149,0,0,1,1,0.061356,2
144,Kelly Macdonald,,Kelly Macdonald,13,14.4,14,0.128145,0.172214,0,0,1,1,0.235212,2
145,Kelsey Grammer,,Kelsey Grammer,5,25,17,0.114823,0.156419,546,0,0.333333,2,0.098653,4
146,Kenny Baker,,Kenny Baker,10,34.3,13,0.15841,0.199699,200.266667,0,0.5,3,0.289798,4
147,Kevin Sussman,,Kevin Sussman,11,13.2,12,0.125,0.150768,0,0,1,1,0.088022,2
148,Kiran Shah,,Kiran Shah,10,13.8,15,0.124322,0.149937,0,0,1,1,0.053762,2
149,Kirsten Dunst,,Kirsten Dunst,12,12.4,14,0.117271,0.139465,0,0,1,1,0.026699,2
150,Kodi Smit-McPhee,,Kodi Smit-McPhee,8,15.2,13,0.152018,0.188005,0,0,1,1,0.136015,2
151,Kristen Stewart,,Kristen Stewart,8,15.9,16,0.112062,0.140669,0,0,1,3,0.088741,3
152,Kristin Scott Thomas,,Kristin Scott Thomas,12,14.2,13,0.128565,0.155682,0,0,1,1,0.085976,2
153,Leonard Nimoy,,Leonard Nimoy,0,16,11,0.161007,0.183947,0,0,1,1,0.075325,2
154,Leonard Roberts,,Leonard Roberts,6,14.6,14,0.119513,0.15149,0,0,1,1,0.061356,2
