Id,Label,timeset,att1,modularity_class,Weighted Degree,Eccentricity,closnesscentrality,harmonicclosnesscentrality,betweenesscentrality,componentnumber,clustering,triangles,eigencentrality,Degree
211,Philip Seymour Hoffman,,Philip Seymour Hoffman,5,25.8,17,0.111607,0.145799,546,0,0.333333,2,0.067635,4
212,Rami Malek,,Rami Malek,5,11.8,16,0.125628,0.163839,0,0,1,1,0.093316,2
213,Ray Winstone,,Ray Winstone,10,12.4,14,0.14168,0.179681,0,0,1,1,0.18987,2
214,Rene Auberjonois,,Rene Auberjonois,10,10.8,16,0.111111,0.131976,0,0,1,1,0.021198,2
215,Richard Roxburgh,,Richard Roxburgh,12,12.2,13,0.128565,0.155682,0,0,1,1,0.085976,2
216,Richard Schiff,,Richard Schiff,4,13,15,0.111698,0.140127,0,0,1,1,0.03551,2
217,Richard Tyson,,Richard Tyson,9,14.2,17,0.106589,0.125417,0,0,1,1,0.014557,2
218,Rick Gonzalez,,Rick Gonzalez,12,13,13,0.140593,0.173007,0,0,1,1,0.107942,2
219,Rip Torn,,Rip Torn,11,19.5,12,0.125057,0.152586,0.5,0,0.666667,2,0.109918,3
220,Rob Riggle,,Rob Riggle,6,15.6,14,0.119513,0.15149,0,0,1,1,0.061356,2
221,Robert Downey Jr.,,Robert Downey Jr.,11,67.9,9,0.191238,0.238857,15432.216667,0,0.194444,7,0.427957,9
222,Robert Maillet,,Robert Maillet,11,15.2,10,0.162146,0.190713,0,0,1,1,0.138925,2
223,Robert Pattinson,,Robert Pattinson,8,38.6,15,0.125916,0.167603,1350.5,0,0.333333,5,0.209268,6
224,Robert Wagner,,Robert Wagner,8,19.4,16,0.111743,0.137881,0.5,0,0.666667,2,0.045464,3
225,Robin Williams,,Robin Williams,5,54.6,16,0.129229,0.186532,1958.15,0,0.142857,4,0.212835,8
226,Rory Kinnear,,Rory Kinnear,2,42.6,13,0.128745,0.16517,1088,0,0.2,3,0.073898,6
227,Rosario Dawson,,Rosario Dawson,11,12.2,12,0.125,0.150768,0,0,1,1,0.092918,2
228,Rupert Grint,,Rupert Grint,8,37.9,14,0.142709,0.191651,1152.89881,0,0.4,4,0.253464,5
229,Ryan Reynolds,,Ryan Reynolds,3,44.2,15,0.13454,0.184836,2736.611905,0,0.2,3,0.1628,6
230,Sam Anderson,,Sam Anderson,13,17.6,13,0.137707,0.181995,0,0,1,1,0.232683,2
231,Sam Claflin,,Sam Claflin,0,13.4,14,0.128926,0.152757,0,0,1,1,0.05816,2
232,Sam Riley,,Sam Riley,4,14,15,0.112613,0.144906,0,0,1,1,0.049323,2
233,Sandra Ellis Lafferty,,Sandra Ellis Lafferty,5,15.2,17,0.111426,0.14095,0,0,1,1,0.055584,2
234,Sarah Silverman,,Sarah Silverman,9,29.8,16,0.119202,0.146871,546,0,0.333333,2,0.037982,4
235,Scarlett Johansson,,Scarlett Johansson,1,53.6,10,0.183211,0.225027,4581.795238,0,0.238095,5,0.339893,7
236,Scott Weinger,,Scott Weinger,5,16,17,0.114536,0.147949,0,0,1,1,0.062611,2
237,Sean Harris,,Sean Harris,12,14.8,13,0.128565,0.155682,0,0,1,1,0.090822,2
238,Sean Hayes,,Sean Hayes,12,14.6,14,0.125571,0.161823,0,0,1,1,0.101325,2
239,Sela Ward,,Sela Ward,10,44.6,14,0.142119,0.188166,1088,0,0.2,3,0.241443,6
240,Seth Gabel,,Seth Gabel,13,13.2,13,0.137707,0.181995,0,0,1,1,0.232683,2
241,Seth MacFarlane,,Seth MacFarlane,12,14,12,0.128926,0.151786,0,0,1,1,0.042874,2
242,Shane Rangi,,Shane Rangi,10,13.8,15,0.124322,0.149937,0,0,1,1,0.053762,2
243,Sharlto Copley,,Sharlto Copley,4,14,15,0.112613,0.144906,0,0,1,1,0.049323,2
244,Siobhan Fallon Hogan,,Siobhan Fallon Hogan,13,17.6,13,0.137707,0.181995,0,0,1,1,0.232683,2
245,Sophia Myles,,Sophia Myles,5,11.4,18,0.103073,0.13014,0,0,1,1,0.030249,2
246,Stefan Kapicic,,Stefan Kapicic,3,16.2,16,0.118688,0.148654,0,0,1,1,0.049408,2
247,Stephanie March,,Stephanie March,4,13,15,0.112983,0.1483,0,0,1,1,0.060639,2
248,Stephanie Sigman,,Stephanie Sigman,2,13.6,14,0.114155,0.136954,0,0,1,1,0.024725,2
249,Stephen Graham,,Stephen Graham,0,13.4,14,0.128926,0.152757,0,0,1,1,0.05816,2
250,Steve Buscemi,,Steve Buscemi,13,57.4,13,0.137914,0.198219,4250.6,0,0.142857,4,0.371392,8
251,Steve Carell,,Steve Carell,9,41.6,14,0.155104,0.2059,4769.316667,0,0.266667,4,0.207161,6
252,Steve Coogan,,Steve Coogan,9,45.7,15,0.140306,0.193031,2957.733333,0,0.190476,4,0.197801,7
253,Sydney Pollack,,Sydney Pollack,1,14.8,12,0.134606,0.151896,0,0,1,1,0.029965,2
254,T.I.,,T.I.,1,14.8,12,0.154755,0.18536,0,0,1,1,0.108271,2
255,Taylor Lautner,,Taylor Lautner,8,16.2,16,0.112062,0.140669,0,0,1,3,0.088741,3
256,Teri Garr,,Teri Garr,1,14.8,12,0.134606,0.151896,0,0,1,1,0.029965,2
257,Tim Holmes,,Tim Holmes,12,12.8,13,0.125228,0.149235,0,0,1,1,0.035889,2
258,Tom Cruise,,Tom Cruise,12,91.4,12,0.147374,0.199167,5005.266667,0,0.089744,7,0.295025,13
259,Tom Hanks,,Tom Hanks,13,111.4,12,0.159513,0.244642,10414.233333,0,0.087912,8,0.987494,14
260,Tom Hardy,,Tom Hardy,7,33.5,14,0.14168,0.172994,671.5,0,0.5,3,0.080185,4
261,Tom Skerritt,,Tom Skerritt,12,27.8,11,0.140737,0.173747,3187.266667,0,0.333333,2,0.114472,4
262,Tyler Labine,,Tyler Labine,12,29.8,14,0.132085,0.173676,2922.15,0,0.333333,2,0.125879,4
263,Valeria Golino,,Valeria Golino,12,16,13,0.128565,0.155682,0,0,1,1,0.085976,2
264,Vanessa Lee Chester,,Vanessa Lee Chester,4,13,15,0.111698,0.140127,0,0,1,1,0.03551,2
265,Vanessa Redgrave,,Vanessa Redgrave,12,14.2,13,0.128565,0.155682,0,0,1,1,0.085976,2
266,Verne Troyer,,Verne Troyer,8,34.4,15,0.125628,0.163967,816.5,0,0.3,3,0.122016,5
267,Vin Diesel,,Vin Diesel,6,55.1,12,0.155017,0.2236,5176.5,0,0.190476,4,0.474554,7
268,Vincent Regan,,Vincent Regan,6,15.4,15,0.107129,0.131929,0,0,1,1,0.026779,2
269,Wayne Knight,,Wayne Knight,4,47.2,13,0.143229,0.211269,4682,0,0.2,3,0.49643,6
270,Will Ferrell,,Will Ferrell,7,29.4,14,0.151934,0.192419,2815.261905,0,0.333333,2,0.110203,4
271,Will Patton,,Will Patton,13,13.2,14,0.121413,0.157017,0,0,1,1,0.097132,2
272,Will Smith,,Will Smith,11,87.3,11,0.142709,0.192333,3472.5,0,0.089744,7,0.306363,13
273,William Hootkins,,William Hootkins,10,32.2,14,0.142266,0.186348,1084,0,0.333333,2,0.220704,4
274,Willow Smith,,Willow Smith,11,14.4,12,0.125,0.150768,0,0,1,1,0.088022,2
275,Yeardley Smith,,Yeardley Smith,9,14.8,17,0.109912,0.133264,0,0,1,1,0.023221,2
276,Zooey Deschanel,,Zooey Deschanel,7,13.8,15,0.13454,0.165858,0,0,1,1,0.05625,2
